funcionalidade;id1;id2;id3
1;1;1;0
1;1;2;0
1;2;10;0
1;3;3;0
1;4;6;0
1;5;7;0
1;6;8;0
1;7;4;0
1;8;5;0
1;9;19;0
1;10;9;0
1;11;11;0
1;12;15;0
1;13;16;0
1;14;17;0
1;15;12;0
2;1;20;0
2;2;1;0
2;3;14;0
2;4;16;0
2;5;17;0
2;6;13;0
2;7;5;0
2;8;3;0
2;9;18;0
2;10;7;0
2;11;8;0
2;12;4;0
2;13;10;0
2;14;9;0
2;15;6;0
3;1;1;2
3;2;10;3
3;3;3;8
3;4;6;5
3;5;7;6
3;6;8;7
3;7;4;1
3;8;5;9
3;9;19;10
3;10;9;11
3;11;11;12
3;12;15;13
3;13;16;14
3;14;17;15
3;15;12;1
4;2;1;1
5;7;4;1
6;1;0;2
6;3;0;8
6;5;0;10
6;7;0;11
6;9;0;13
6;12;0;15
7;1;0;7
7;2;0;9
7;3;0;15
7;5;0;14
7;6;0;12
7;8;0;13
7;10;0;4
7;2;0;5
7;10;0;15
7;6;0;4
7;8;0;14
7;4;0;11
8;0;0;0 
